ROW_ID,Cluster,Anomaly Type,Top Deviating Features,Justification,Business Implication
85.0,cluster_2,Tipe B - Rare but Valid,POS_MONTHS_COUNT=1.37 (35.6x dari median) | EXT_SOURCE_1=-0.40 (30.6x dari median) | BUREAU_DAYS_CREDIT_MEAN=-1.46 (19.0x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median) | OWN_CAR_AGE=6.79 (15.9x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
89.0,cluster_4,Tipe A - Data Error,EXT_SOURCE_1=1.83 (134.6x dari median) | POS_SK_DPD_MEAN=16.97 (85.4x dari median) | ANNUITY_TO_INCOME=1.69 (19.4x dari median) | PREV_APPROVAL_RATE=0.96 (19.4x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
183.0,cluster_4,Tipe A - Data Error,BUREAU_BB_SEVERE_DPD_MEAN=9.45 (185.5x dari median) | POS_SK_DPD_MEAN=15.15 (76.1x dari median) | BUREAU_BB_DPD_RATIO_MEAN=8.06 (42.5x dari median) | ANNUITY_TO_INCOME=2.34 (26.6x dari median) | EXT_SOURCE_1=0.32 (22.8x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
270.0,cluster_4,Tipe B - Rare but Valid,ANNUITY_TO_INCOME=2.35 (26.7x dari median) | CREDIT_TO_INCOME=3.76 (24.9x dari median) | CREDIT_TERM_MONTHS=1.68 (23.3x dari median) | POS_SK_DPD_MEAN=3.24 (15.5x dari median) | YEARS_BIRTH=1.48 (10.6x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
991.0,cluster_2,Tipe A - Data Error,POS_MONTHS_COUNT=2.66 (70.2x dari median) | REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | CREDIT_TERM_MONTHS=1.68 (32.8x dari median) | YEARS_BIRTH=-0.90 (27.9x dari median) | EXT_SOURCE_3=-2.94 (27.5x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
1188.0,cluster_1,Tipe A - Data Error,EXT_SOURCE_1=-1.51 (112.8x dari median) | INST_SEVERE_LATE_RATIO=6.54 (39.9x dari median) | INST_DPD_MEAN=1.03 (10.0x dari median) | INST_LATE_RATIO=4.03 (7.4x dari median) | CNT_CHILDREN=3.60 (7.2x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
1318.0,cluster_2,Tipe A - Data Error,EXT_SOURCE_1=2.50 (184.4x dari median) | REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | CREDIT_TERM_MONTHS=-1.08 (19.5x dari median) | BUREAU_DAYS_CREDIT_MEAN=-1.32 (17.1x dari median) | BUREAU_ACTIVE_RATIO=-0.58 (8.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
1570.0,cluster_0,Tipe A - Data Error,EXT_SOURCE_3=0.11 (53.0x dari median) | EXT_SOURCE_1=-0.30 (23.3x dari median) | YEARS_EMPLOYED=2.72 (19.7x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median) | PREV_REFUSED_COUNT=1.77 (16.3x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
1727.0,cluster_2,Tipe A - Data Error,EXT_SOURCE_1=2.67 (197.6x dari median) | BUREAU_DAYS_CREDIT_MEAN=-3.00 (40.0x dari median) | YEARS_BIRTH=0.73 (24.4x dari median) | CREDIT_TERM_MONTHS=1.17 (23.3x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
1970.0,cluster_2,Tipe A - Data Error,EXT_SOURCE_1=0.85 (62.2x dari median) | BUREAU_BB_DPD_RATIO_MEAN=7.84 (41.3x dari median) | REGION_RATING_CLIENT_W_CITY=-2.04 (34.6x dari median) | POS_MONTHS_COUNT=-0.53 (15.1x dari median) | AMT_REQ_CREDIT_BUREAU_YEAR=1.85 (13.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
