normalized_rule,support,confidence,lift,algorithm,rule_str,appears_in,is_consistent,consistency_bonus,final_score,target_cluster,rank,business_summary
"['burden_med', 'cluster_0_veteran', 'credit_large'] -> ['income_very_high']",0.0365318721140755,0.7304330579382987,3.088816147724489,"['apriori', 'eclat', 'fpgrowth']","{'credit_large', 'burden_med', 'cluster_0_veteran'} -> {'income_very_high'}",apriori+eclat+fpgrowth,True,0.3,2.556173424191594,cluster_0,1,"Rule relevan cluster_0 dengan confidence 73.0% untuk ['burden_med', 'cluster_0_veteran', 'credit_large'] -> ['income_very_high']"
"['burden_high', 'income_very_high'] -> ['credit_large']",0.052530393558255,0.8542669161110218,2.354875810412924,"['apriori', 'eclat', 'fpgrowth', 'fpgrowth_cluster0', 'fpgrowth_cluster3', 'fpgrowth_cluster4']","{'income_very_high', 'burden_high'} -> {'credit_large'}",apriori+eclat+fpgrowth+fpgrowth_cluster0+fpgrowth_cluster3+fpgrowth_cluster4,True,0.3,2.311692496385892,cluster_0,2,"Rule relevan cluster_0 dengan confidence 85.4% untuk ['burden_high', 'income_very_high'] -> ['credit_large']"
"['burden_med', 'cluster_0_veteran'] -> ['income_very_high']",0.0640712766604445,0.6286242806648906,2.658275502246584,"['apriori', 'eclat', 'fpgrowth']","{'burden_med', 'cluster_0_veteran'} -> {'income_very_high'}",apriori+eclat+fpgrowth,True,0.3,1.9710565254088597,cluster_0,3,"Rule relevan cluster_0 dengan confidence 62.9% untuk ['burden_med', 'cluster_0_veteran'] -> ['income_very_high']"
"['age_senior', 'burden_high', 'cluster_1_minimal'] -> ['credit_small', 'emp_new', 'income_low']",0.03014,0.7210526315789474,9.410762615230324,['apriori'],"{'cluster_1_minimal', 'burden_high', 'age_senior'} -> {'credit_small', 'emp_new', 'income_low'}",apriori,False,0.0,6.785655148876602,cluster_1,4,"Rule relevan cluster_1 dengan confidence 72.1% untuk ['age_senior', 'burden_high', 'cluster_1_minimal'] -> ['credit_small', 'emp_new', 'income_low']"
"['age_senior', 'burden_high', 'credit_small'] -> ['cluster_1_minimal', 'emp_new', 'income_low']",0.03014,0.68282736746715,9.555378777877834,['apriori'],"{'credit_small', 'burden_high', 'age_senior'} -> {'cluster_1_minimal', 'emp_new', 'income_low'}",apriori,False,0.0,6.524674136049795,cluster_1,5,"Rule relevan cluster_1 dengan confidence 68.3% untuk ['age_senior', 'burden_high', 'credit_small'] -> ['cluster_1_minimal', 'emp_new', 'income_low']"
"['burden_high', 'cluster_1_minimal', 'emp_new'] -> ['age_senior', 'credit_small', 'income_low']",0.03014,0.6583660987330712,9.53324788203115,['apriori'],"{'cluster_1_minimal', 'emp_new', 'burden_high'} -> {'credit_small', 'income_low', 'age_senior'}",apriori,False,0.0,6.276367216348161,cluster_1,6,"Rule relevan cluster_1 dengan confidence 65.8% untuk ['burden_high', 'cluster_1_minimal', 'emp_new'] -> ['age_senior', 'credit_small', 'income_low']"
"['burden_high', 'credit_small'] -> ['income_low']",0.1212695686364339,0.9841422796543732,2.9879119521235515,"['apriori', 'eclat', 'fpgrowth', 'fpgrowth_cluster1', 'fpgrowth_cluster2', 'fpgrowth_cluster4']","{'credit_small', 'burden_high'} -> {'income_low'}",apriori+eclat+fpgrowth+fpgrowth_cluster1+fpgrowth_cluster2+fpgrowth_cluster4,True,0.3,3.2405304799694203,cluster_2,7,"Rule relevan cluster_2 dengan confidence 98.4% untuk ['burden_high', 'credit_small'] -> ['income_low']"
"['credit_small', 'income_high'] -> ['burden_low']",0.0630856717023881,0.7827934367375847,2.205286728100479,"['apriori', 'eclat', 'fpgrowth', 'fpgrowth_cluster1', 'fpgrowth_cluster2', 'fpgrowth_cluster4']","{'credit_small', 'income_high'} -> {'burden_low'}",apriori+eclat+fpgrowth+fpgrowth_cluster1+fpgrowth_cluster2+fpgrowth_cluster4,True,0.3,2.0262839768815577,cluster_2,8,"Rule relevan cluster_2 dengan confidence 78.3% untuk ['credit_small', 'income_high'] -> ['burden_low']"
"['emp_new', 'risk_score_high'] -> ['age_senior']",0.0798944338677115,0.7189477005229753,2.1216935014910234,"['apriori', 'eclat', 'fpgrowth', 'fpgrowth_cluster0', 'fpgrowth_cluster1', 'fpgrowth_cluster2', 'fpgrowth_cluster3', 'fpgrowth_cluster4']","{'emp_new', 'risk_score_high'} -> {'age_senior'}",apriori+eclat+fpgrowth+fpgrowth_cluster0+fpgrowth_cluster1+fpgrowth_cluster2+fpgrowth_cluster3+fpgrowth_cluster4,True,0.3,1.8253866641115113,cluster_2,9,"Rule relevan cluster_2 dengan confidence 71.9% untuk ['emp_new', 'risk_score_high'] -> ['age_senior']"
"['burden_low', 'credit_large'] -> ['income_low']",0.0506944325811025,0.8605190662606931,2.639084433473159,['fpgrowth_cluster3'],"{'burden_low', 'credit_large'} -> {'income_low'}",fpgrowth_cluster3,False,0.0,2.270982472475453,cluster_3,10,"Rule relevan cluster_3 dengan confidence 86.1% untuk ['burden_low', 'credit_large'] -> ['income_low']"
"['burden_high', 'cluster_3_ambisius', 'income_high'] -> ['credit_large']",0.0345645166149714,0.7943306932721939,2.4760222854307705,"['apriori', 'eclat', 'fpgrowth']","{'income_high', 'cluster_3_ambisius', 'burden_high'} -> {'credit_large'}",apriori+eclat+fpgrowth,True,0.3,2.2667804985436257,cluster_3,11,"Rule relevan cluster_3 dengan confidence 79.4% untuk ['burden_high', 'cluster_3_ambisius', 'income_high'] -> ['credit_large']"
"['credit_large', 'income_low'] -> ['cluster_3_ambisius']",0.0394022724359424,0.7885867037562989,2.3969356560316117,"['apriori', 'eclat', 'fpgrowth']","{'income_low', 'credit_large'} -> {'cluster_3_ambisius'}",apriori+eclat+fpgrowth,True,0.3,2.1901915881059106,cluster_3,12,"Rule relevan cluster_3 dengan confidence 78.9% untuk ['credit_large', 'income_low'] -> ['cluster_3_ambisius']"
"['age_senior', 'burden_high', 'credit_small'] -> ['emp_new', 'income_low']",0.0457072452198125,0.7739145862132696,5.013172857360817,"['apriori', 'eclat', 'fpgrowth', 'fpgrowth_cluster1', 'fpgrowth_cluster4']","{'credit_small', 'burden_high', 'age_senior'} -> {'emp_new', 'income_low'}",apriori+eclat+fpgrowth+fpgrowth_cluster1+fpgrowth_cluster4,True,0.3,4.179767597519991,cluster_4,13,"Rule relevan cluster_4 dengan confidence 77.4% untuk ['age_senior', 'burden_high', 'credit_small'] -> ['emp_new', 'income_low']"
"['age_senior', 'burden_high', 'credit_small', 'emp_new'] -> ['income_low']",0.0457072452198125,0.9936839700520784,2.8202267263498024,"['apriori', 'eclat', 'fpgrowth', 'fpgrowth_cluster1', 'fpgrowth_cluster4']","{'credit_small', 'emp_new', 'burden_high', 'age_senior'} -> {'income_low'}",apriori+eclat+fpgrowth+fpgrowth_cluster1+fpgrowth_cluster4,True,0.3,3.1024140898862482,cluster_4,14,"Rule relevan cluster_4 dengan confidence 99.4% untuk ['age_senior', 'burden_high', 'credit_small', 'emp_new'] -> ['income_low']"
"['age_senior', 'burden_high', 'credit_small'] -> ['income_low']",0.0585307578944741,0.9915126144727726,2.8139396268954107,"['apriori', 'eclat', 'fpgrowth', 'fpgrowth_cluster1', 'fpgrowth_cluster4']","{'credit_small', 'burden_high', 'age_senior'} -> {'income_low'}",apriori+eclat+fpgrowth+fpgrowth_cluster1+fpgrowth_cluster4,True,0.3,3.0900566364316067,cluster_4,15,"Rule relevan cluster_4 dengan confidence 99.2% untuk ['age_senior', 'burden_high', 'credit_small'] -> ['income_low']"
