ROW_ID,CLUSTER_KMEANS,CLUSTER_HIER,CLUSTER_DBSCAN,IS_OUTLIER
0,1,2,0.0,0
1,3,2,,0
2,1,2,,0
3,1,2,,0
4,3,2,0.0,0
5,4,2,,0
6,0,2,,0
7,3,2,,0
8,4,2,,0
9,1,2,,0
10,3,2,,0
11,1,2,,0
12,1,2,,0
13,3,2,,0
14,3,2,0.0,0
15,1,2,,0
16,3,2,,0
17,1,2,,0
18,1,2,,0
19,3,2,,0
20,1,2,,0
21,3,2,,0
22,0,2,,0
23,1,2,,0
24,1,2,,0
25,0,2,,0
26,3,2,,0
27,1,2,,0
28,4,2,,0
29,1,2,,0
30,0,2,,0
31,0,2,,0
32,1,2,,0
33,0,2,,0
34,3,2,,0
35,3,2,,0
36,2,2,,0
37,0,2,,0
38,1,2,,0
39,3,2,,0
40,0,2,,0
41,2,2,0.0,0
42,2,2,,0
43,3,2,,0
44,3,2,,0
45,1,2,,0
46,1,2,,0
47,1,2,,0
48,3,2,,0
49,3,2,,0
50,1,2,,0
51,0,2,,0
52,3,2,,0
53,1,2,,0
54,3,2,,0
55,0,2,,0
56,1,2,,0
57,1,2,,0
58,0,2,,0
59,0,2,,0
60,3,2,,0
61,0,0,,0
62,0,2,,0
63,2,2,,0
64,1,2,,0
65,0,2,0.0,0
66,0,2,,0
67,1,2,,0
68,1,2,,0
69,1,2,,0
70,2,2,,0
71,3,2,,0
72,0,2,,0
73,3,2,,0
74,2,2,,0
75,3,2,,0
76,1,2,,0
77,1,2,,0
78,3,2,,0
79,1,2,,0
80,1,2,,0
81,1,2,,0
82,3,2,,0
83,1,2,,0
84,0,2,,0
85,2,2,0.0,0
86,2,2,,0
87,1,2,,0
88,3,2,,0
89,4,2,0.0,0
90,0,2,,0
91,3,2,,0
92,3,2,,0
93,3,2,,0
94,3,2,,0
95,1,2,,0
96,1,2,,0
97,1,2,,0
98,2,2,,0
99,3,2,,0
100,1,2,,0
101,3,2,,0
102,3,2,,0
103,3,2,,0
104,3,2,,0
105,0,2,,0
106,1,2,,0
107,1,2,,0
108,1,2,0.0,0
109,1,2,0.0,0
110,3,2,,0
111,2,2,,0
112,3,2,,0
113,3,2,,0
114,1,2,,0
115,0,2,,0
116,3,2,,0
117,2,2,,0
118,3,2,,0
119,2,2,,0
120,3,2,,0
121,0,2,,0
122,2,2,,0
123,3,2,,0
124,2,2,,0
125,1,2,,0
126,0,2,,0
127,2,2,,0
128,3,2,,0
129,2,2,,0
130,1,2,0.0,0
131,2,2,,0
132,1,2,,0
133,3,2,,0
134,3,2,,0
135,3,2,,0
136,3,2,,0
137,3,2,,0
138,3,2,,0
139,1,2,,0
140,0,2,,0
141,0,2,,0
142,0,2,,0
143,3,2,0.0,0
144,1,2,0.0,0
145,0,2,,0
146,2,2,,0
147,1,2,,0
148,3,2,,0
149,2,2,,0
150,3,2,0.0,0
151,0,2,,0
152,0,2,,0
153,0,2,,0
154,1,2,,0
155,1,2,,0
156,1,2,,0
157,1,2,,0
158,1,2,,0
159,2,2,,0
160,1,2,,0
161,0,2,,0
162,3,2,,0
163,1,2,0.0,0
164,2,2,,0
165,1,2,,0
166,1,2,,0
167,0,2,,0
168,2,2,,0
169,2,2,,0
170,1,2,,0
171,0,2,,0
172,0,2,,0
173,1,2,,0
174,1,2,,0
175,3,2,,0
176,4,2,,0
177,0,2,,0
178,3,2,,0
179,3,2,,0
180,3,2,,0
181,3,2,,0
182,2,2,,0
183,4,0,-1.0,1
184,1,2,,0
185,1,2,,0
186,1,2,,0
187,2,2,,0
188,2,2,,0
189,3,2,,0
190,2,2,,0
191,2,2,-1.0,1
192,2,2,-1.0,1
193,0,2,,0
194,1,2,,0
195,3,2,,0
196,2,2,,0
197,4,2,,0
198,1,2,,0
199,3,2,,0
200,0,2,0.0,0
