feature,lower_model_value,upper_model_value,rows_clipped_low,rows_clipped_high
AMT_INCOME_TOTAL,10.714439990727769,13.093965960493682,1662,0
AMT_CREDIT,10.97679912709094,14.515554401775717,1773,1644
AMT_ANNUITY,8.569880513695244,11.312496962399234,1781,1774
CREDIT_TO_INCOME,0.4716666666666667,14.47475513333326,1771,1782
ANNUITY_TO_INCOME,0.03333333333333333,0.5505833333333333,1621,1780
CREDIT_TERM_MONTHS,8.382061936646714,37.90750568612585,1782,1375
YEARS_BIRTH,22.18082191780822,67.66301369863014,1781,1771
YEARS_EMPLOYED,0.0,33.459534246575295,0,1782
CNT_CHILDREN,0.0,3.0,0,626
REGION_RATING_CLIENT_W_CITY,1.0,3.0,1,0
OWN_CAR_AGE,0.0,64.0,0,1354
EXT_SOURCE_1,0.0864220520662945,0.8860237494607965,1782,1782
EXT_SOURCE_2,0.01387221304330368,0.7915969527244868,1782,1782
EXT_SOURCE_3,0.050631513143346,0.8425892767430772,1776,1716
AMT_REQ_CREDIT_BUREAU_YEAR,0.0,8.0,0,0
BUREAU_COUNT,0.0,23.0,0,1471
BUREAU_ACTIVE_RATIO,0.0,1.0,0,0
BUREAU_DEBT_TO_CREDIT_RATIO,0.0,1.0,1265,1755
BUREAU_DAYS_CREDIT_MEAN,-2740.0,0.0,1779,0
BUREAU_BB_DPD_RATIO_MEAN,0.0,0.2,0,1752
BUREAU_BB_SEVERE_DPD_MEAN,0.0,0.027601914214814137,0,1782
PREV_COUNT,0.0,23.0,0,1732
PREV_APPROVAL_RATE,0.0,1.0,0,0
PREV_REFUSED_COUNT,0.0,10.0,0,1751
INST_DPD_MEAN,0.0,24.991562499999418,0,1782
INST_DPD_MAX,0.0,711.0,0,1781
INST_COUNT,0.0,207.0,0,1780
INST_LATE_RATIO,0.0,0.5454545454545454,0,1748
INST_SEVERE_LATE_RATIO,0.0,0.1,0,1775
INST_PAYMENT_RATIO_MEAN,0.0,2.8054823866460086,0,1782
POS_SK_DPD_MEAN,0.0,193.29095894428028,0,1782
POS_MONTHS_COUNT,0.0,131.0,0,1722
CC_UTILIZATION_MEAN,0.0,0.9809087919523809,36,1782
CC_UTILIZATION_MAX,0.0,1.1272591534999996,0,1782
CC_SK_DPD_MEAN,0.0,3.630940272028342,0,1782
CC_AMT_BALANCE_MEAN,0.0,427448.9728124997,36,1782
CC_MONTHS_COUNT,0.0,96.0,0,329
