feature,normalized_entropy,dominant_value_share,n_unique,missing_share,dtype
FLAG_MOBIL,0.00010602092168861901,0.9999943860437046,2,0.0,numeric
FLAG_DOCUMENT_12,0.00010602092168861901,0.9999943860437046,2,0.0,numeric
FLAG_DOCUMENT_10,0.0003355605865835816,0.9999803511529662,2,0.0,numeric
FLAG_DOCUMENT_2,0.0005905941995980104,0.9999635092840802,2,0.0,numeric
FLAG_DOCUMENT_4,0.0012613123551543386,0.9999157906555698,2,0.0,numeric
FLAG_DOCUMENT_7,0.0023893488655948353,0.9998287743329918,2,0.0,numeric
FLAG_DOCUMENT_17,0.003113660926997767,0.9997698277918906,2,0.0,numeric
FLAG_DOCUMENT_21,0.003815944414978485,0.9997108812507894,2,0.0,numeric
FLAG_DOCUMENT_20,0.005517189407273372,0.9995621114089627,2,0.0,numeric
FLAG_DOCUMENT_19,0.006353760891909023,0.9994863229989754,2,0.0,numeric
FLAG_DOCUMENT_15,0.011846750370209443,0.9989558041290648,2,0.0,numeric
FLAG_CONT_MOBILE,0.019280987527134367,0.9981698502477159,2,0.0,numeric
FLAG_DOCUMENT_14,0.025511346615850354,0.9974652987326493,2,0.0,numeric
FLAG_DOCUMENT_13,0.029821827578702748,0.9969572356879202,2,0.0,numeric
FLAG_DOCUMENT_11,0.03389479220526648,0.9964632075339294,2,0.0,numeric
FLAG_DOCUMENT_9,0.03744307310777903,0.9960225119647443,2,0.0,numeric
FLAG_DOCUMENT_18,0.0618166273574461,0.9927692242915889,2,0.0,numeric
FLAG_DOCUMENT_16,0.07115454976592991,0.9914302957151478,2,0.0,numeric
FLAG_DOCUMENT_5,0.11275322682617493,0.9849349482814276,2,0.0,numeric
REG_REGION_NOT_LIVE_REGION,0.11625792447969978,0.9843510968267112,2,0.0,numeric
DEF_60_CNT_SOCIAL_CIRCLE,0.1526609151749915,0.9132082356738853,10,0.0029473270550588763,numeric
AMT_REQ_CREDIT_BUREAU_DAY,0.18368662416528203,0.8621015845391644,10,0.13352233652861012,numeric
