feature,status,decision_basis,normalized_unsupervised_entropy,dominant_value_share,n_unique,high_corr_partner,abs_corr,business_reason,target_used_for_decision
AMT_ANNUITY,keep,Correlation and unsupervised entropy audit,0.9993346668643054,0.018105009052504527,13037,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
AMT_CREDIT,keep,Correlation and unsupervised entropy audit,0.9902034819137805,0.03319813055255365,6247,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
AMT_INCOME_TOTAL,keep,Correlation and unsupervised entropy audit,0.9333697496546276,0.11596188123675458,2426,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
AMT_REQ_CREDIT_BUREAU_YEAR,keep,Correlation and unsupervised entropy audit,0.7958057371376177,0.33735386170018666,9,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
ANNUITY_TO_INCOME,keep,Correlation and unsupervised entropy audit,0.999998528951448,0.008218832016392752,95439,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
BUREAU_ACTIVE_RATIO,keep,Correlation and unsupervised entropy audit,0.8742687179481086,0.2931607977431896,315,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
BUREAU_BB_DPD_RATIO_MEAN,keep,Correlation and unsupervised entropy audit,0.2667067085972676,0.8637998063185078,19889,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
BUREAU_BB_SEVERE_DPD_MEAN,keep,Correlation and unsupervised entropy audit,0.030876523347229855,0.9898892647120742,1107,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
BUREAU_COUNT,keep,Correlation and unsupervised entropy audit,0.9235580331365587,0.14159520568132378,24,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
BUREAU_DAYS_CREDIT_MEAN,keep,Correlation and unsupervised entropy audit,0.9794883464882996,0.1416008196376191,69438,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
BUREAU_DEBT_TO_CREDIT_RATIO,keep,Correlation and unsupervised entropy audit,0.843664086548042,0.39522252319265694,211932,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
CC_AMT_BALANCE_MEAN,keep,Correlation and unsupervised entropy audit,0.35932785423735136,0.8029585549676496,68263,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
CC_MONTHS_COUNT,keep,Correlation and unsupervised entropy audit,0.48702275044993787,0.7093149569830599,97,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
CC_SK_DPD_MEAN,keep,Correlation and unsupervised entropy audit,0.13174513035333144,0.942007831469032,2238,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
CC_UTILIZATION_MAX,keep,Correlation review plus distinct domain role,0.35865928370549865,0.8034188993838683,63923,CC_UTILIZATION_MEAN,0.8906361732856856,Retain with CC_UTILIZATION_MEAN: mean and maximum card-use fields describe sustained and peak historical behaviour. Their correlation remains a sensitivity caveat.,False
CC_UTILIZATION_MEAN,keep,Correlation review plus distinct domain role,0.3586348151246568,0.8034357412527543,67722,CC_UTILIZATION_MAX,0.8906361732856856,Retain with CC_UTILIZATION_MAX: mean and maximum card-use fields describe sustained and peak historical behaviour. Their correlation remains a sensitivity caveat.,False
CREDIT_TO_ANNUITY,keep,Correlation and unsupervised entropy audit,0.9853798652219481,0.08331391840114524,43052,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
CREDIT_TO_INCOME,keep,Correlation and unsupervised entropy audit,0.9993400356575295,0.016805378170130947,53115,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
EXT_SOURCE_1,keep,Correlation and unsupervised entropy audit,0.6779537948855773,0.5443095535501256,130808,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
EXT_SOURCE_2,keep,Correlation and unsupervised entropy audit,0.9999941128124115,0.005002035059157065,123902,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
EXT_SOURCE_3,keep,Correlation and unsupervised entropy audit,0.9451503283557777,0.19760564764003313,640,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
FLAG_EXT_SOURCE_1_MISSING,keep,Correlation and unsupervised entropy audit,0.9943297286804123,0.5443011326156826,2,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
