field,label,bin_left,bin_right,bin_mid,applications,median,skewness,display_trim_quantile,share_beyond_display_range,zero_share
AMT_INCOME_TOTAL,Declared annual income,25650.0,37158.75,31404.375,921,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,37158.75,48667.5,42913.125,3234,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,48667.5,60176.25,54421.875,5304,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,60176.25,71685.0,65930.625,14501,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,71685.0,83193.75,77439.375,13361,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,83193.75,94702.5,88948.125,29832,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,94702.5,106211.25,100456.875,8560,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,106211.25,117720.0,111965.625,41277,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,117720.0,129228.75,123474.375,10406,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,129228.75,140737.5,134983.125,44081,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,140737.5,152246.25,146491.875,5801,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,152246.25,163755.0,158000.625,34465,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,163755.0,175263.75,169509.375,5893,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,175263.75,186772.5,181018.125,30703,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,186772.5,198281.25,192526.875,3873,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,198281.25,209790.0,204035.625,20365,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,209790.0,221298.75,215544.375,3369,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,221298.75,232807.5,227053.125,24876,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,232807.5,244316.25,238561.875,1921,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,244316.25,255825.0,250070.625,7058,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,255825.0,267333.75,261579.375,1343,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,267333.75,278842.5,273088.125,12916,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,278842.5,290351.25,284596.875,847,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,290351.25,301860.0,296105.625,4501,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,301860.0,313368.75,307614.375,541,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,313368.75,324877.5,319123.125,7212,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,324877.5,336386.25,330631.875,200,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,336386.25,347895.0,342140.625,2319,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,347895.0,359403.75,353649.375,311,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,359403.75,370912.5,365158.125,5040,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,370912.5,382421.25,376666.875,156,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,382421.25,393930.0,388175.625,1353,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,393930.0,405438.75,399684.375,2152,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
AMT_INCOME_TOTAL,Declared annual income,405438.75,416947.5,411193.125,67,153000.0,403.64966452975443,0.99,0.009961965446099003,0.0
