cluster_id,feature,std_diff,direction
0,PREV_COUNT,1.454,ABOVE
0,PREV_REFUSED_COUNT,1.252,ABOVE
0,AMT_REQ_CREDIT_BUREAU_YEAR,1.062,ABOVE
0,POS_MONTHS_COUNT,1.015,ABOVE
0,PREV_APPROVAL_RATE,-0.651,BELOW
0,BUREAU_COUNT,0.472,ABOVE
0,INST_COUNT,0.426,ABOVE
0,CC_UTILIZATION_MEAN,-0.326,BELOW
0,CREDIT_TO_INCOME,-0.318,BELOW
0,EXT_SOURCE_3,-0.317,BELOW
1,AMT_CREDIT,0.822,ABOVE
1,CREDIT_TO_INCOME,0.752,ABOVE
1,AMT_ANNUITY,0.695,ABOVE
1,ANNUITY_TO_INCOME,0.593,ABOVE
1,CREDIT_TO_ANNUITY,0.555,ABOVE
1,CC_UTILIZATION_MAX,-0.422,BELOW
1,INST_COUNT,-0.421,BELOW
1,PREV_COUNT,-0.418,BELOW
1,CC_UTILIZATION_MEAN,-0.385,BELOW
1,AMT_REQ_CREDIT_BUREAU_YEAR,-0.338,BELOW
2,AMT_CREDIT,-0.877,BELOW
2,AMT_ANNUITY,-0.767,BELOW
2,CREDIT_TO_INCOME,-0.638,BELOW
2,CREDIT_TO_ANNUITY,-0.547,BELOW
2,ANNUITY_TO_INCOME,-0.465,BELOW
2,INST_COUNT,-0.445,BELOW
2,CC_UTILIZATION_MAX,-0.42,BELOW
2,PREV_COUNT,-0.409,BELOW
2,CC_UTILIZATION_MEAN,-0.378,BELOW
2,NAME_CONTRACT_TYPE,-0.373,BELOW
3,INST_DPD_MEAN,5.473,ABOVE
3,INST_SEVERE_LATE_RATIO,5.011,ABOVE
3,INST_DPD_MAX,4.997,ABOVE
3,POS_SK_DPD_MEAN,2.866,ABOVE
3,INST_LATE_RATIO,1.971,ABOVE
3,CC_SK_DPD_MEAN,1.272,ABOVE
3,POS_MONTHS_COUNT,0.574,ABOVE
3,BUREAU_BB_SEVERE_DPD_MEAN,0.394,ABOVE
3,INST_PAYMENT_RATIO_MEAN,-0.372,BELOW
3,BUREAU_BB_DPD_RATIO_MEAN,0.338,ABOVE
4,CC_UTILIZATION_MAX,2.174,ABOVE
4,CC_UTILIZATION_MEAN,2.025,ABOVE
4,CC_AMT_BALANCE_MEAN,1.636,ABOVE
4,CC_MONTHS_COUNT,1.572,ABOVE
4,INST_COUNT,1.506,ABOVE
4,PREV_COUNT,0.476,ABOVE
4,AMT_REQ_CREDIT_BUREAU_YEAR,0.463,ABOVE
4,CC_SK_DPD_MEAN,0.408,ABOVE
4,POS_MONTHS_COUNT,0.316,ABOVE
4,NAME_CONTRACT_TYPE,0.26,ABOVE
