PC1,PC2,CLUSTER_KMEANS
-2.2377837,1.4739206,3
5.4620295,2.775145,0
0.32133493,-0.5450487,1
1.6044436,1.4306195,4
-0.029303052,-0.8609052,4
-0.20661145,1.447519,3
-2.1488984,-1.3703774,2
0.43637344,-2.2426329,2
0.7650672,1.3441579,0
-0.47998187,-2.0264804,2
3.03984,-1.5260065,0
3.161976,-1.5730847,4
-1.9961252,0.8299793,3
-1.8245018,0.53658706,3
0.6383558,1.9490703,3
0.22097804,-0.23317389,4
0.3387044,1.3006301,4
2.947644,-3.2415204,0
0.3610582,0.35275692,3
-1.2026405,-0.47537068,2
0.72918063,-0.8812963,2
1.4118749,-0.22132926,4
-1.9432895,2.9486232,3
4.3302116,-3.1558447,0
0.64392877,1.2889012,4
-0.90755266,-1.4756614,2
-1.5301353,-0.5207516,2
0.06359525,-3.4936857,1
-1.4421502,-0.04150954,2
-0.91369736,-1.3630023,2
1.6233189,-4.4750023,4
-0.24588238,-1.3065599,4
1.2318054,-0.08184421,4
-1.6564143,-2.1230884,2
0.08226979,-0.23616973,4
-1.7944624,2.0412488,3
2.6234305,-1.4964552,0
-0.2018018,0.43761557,4
-2.3262599,-1.856507,2
-0.5729254,1.4762248,3
-0.50622857,0.016355734,4
1.2056106,2.0859115,3
0.60845476,-2.7982147,4
0.119375035,-2.2232146,2
5.2840614,1.4258424,0
4.1768785,-3.2760046,0
2.5542874,-2.0122712,0
0.3830044,-3.3424382,4
-1.7732517,0.8575073,3
-1.1992544,-3.541964,2
-1.424512,1.050238,3
-1.70313,-0.4841532,2
-0.2704831,-3.195909,2
2.7515867,-1.8806007,0
-0.30726278,2.3135147,3
1.2525672,0.44238508,4
0.41524068,-2.7628765,2
-1.1085728,-2.0029206,2
0.8657267,-0.025840782,0
-0.6357136,0.37424412,2
0.5108968,1.2840726,3
3.9543169,0.5659524,0
-0.7905759,-2.2643905,2
2.6425633,2.3181117,0
-2.2421525,2.1969573,3
0.12562425,-2.4553208,2
-1.4151658,1.9831321,3
