feature,noise_mean_sd,dense_mean_sd,gap_sd
INST_LATE_RATIO,0.9405492,-0.0339084,0.9744576
INST_COUNT,0.8402964,-0.030311815,0.8706082
PREV_REFUSED_COUNT,0.7965445,-0.028681083,0.8252256
CC_UTILIZATION_MEAN,0.6997856,-0.025291542,0.72507715
PREV_COUNT,0.6909476,-0.024951354,0.71589893
BUREAU_COUNT,0.20204929,-0.0072416286,0.2092909
ANNUITY_TO_INCOME,0.18220475,-0.0065717865,0.18877654
CREDIT_TO_INCOME,0.14915296,-0.005384737,0.15453771
AMT_ANNUITY,0.07724187,-0.0027839164,0.080025785
AMT_CREDIT,0.025054019,-0.0009020464,0.025956064
