component,explained_variance_ratio,cumulative_variance
PC1,0.08729194,0.08729194
PC2,0.07920994,0.16650188
PC3,0.05837811,0.22488
PC4,0.05400686,0.27888685
PC5,0.053329196,0.33221605
PC6,0.0479351,0.38015115
PC7,0.03887328,0.41902444
PC8,0.037982278,0.45700672
PC9,0.03587577,0.4928825
PC10,0.02856691,0.5214494
PC11,0.027999975,0.5494494
PC12,0.02621777,0.57566714
PC13,0.025145242,0.6008124
PC14,0.024610821,0.6254232
PC15,0.024443531,0.6498667
PC16,0.024225337,0.67409205
PC17,0.023871092,0.6979631
PC18,0.023707682,0.7216708
PC19,0.022928625,0.74459946
PC20,0.021285092,0.7658846
PC21,0.020587036,0.7864716
PC22,0.019651052,0.80612266
PC23,0.018057935,0.8241806
PC24,0.017292755,0.84147334
PC25,0.017011115,0.85848445
PC26,0.016160298,0.87464476
PC27,0.01588069,0.89052546
PC28,0.0134897195,0.9040152
PC29,0.01254423,0.9165594
PC30,0.011381428,0.92794085
PC31,0.010228177,0.938169
PC32,0.009561589,0.9477306
PC33,0.0095283305,0.95725894
PC34,0.008128271,0.9653872
PC35,0.0057192906,0.9711065
PC36,0.0053052506,0.97641176
PC37,0.005174231,0.981586
PC38,0.004513779,0.9860998
PC39,0.0031250217,0.9892248
PC40,0.0024459702,0.9916708
PC41,0.0019883884,0.9936592
PC42,0.0017125466,0.99537176
PC43,0.0015978207,0.9969696
PC44,0.0012019174,0.9981715
PC45,0.0009354946,0.999107
PC46,0.0007451347,0.9998521
PC47,0.00014799144,1.0000001
