population,applications,population_base,share_of_base,feature,mean,std,mode,mode_share,in_mining_matrix,base_note
Historical Card-Use Intensity,54518,356255,0.1530308346549522,AMT_INCOME_TOTAL,179963.7611016545,84385.5347145387,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,AMT_CREDIT,615153.5334384973,367361.3197823894,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,AMT_ANNUITY,27772.32514949191,13152.236051769069,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,CREDIT_TO_INCOME,3.8047139748548835,2.440642881926004,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,ANNUITY_TO_INCOME,0.17203537191248555,0.08560652455601986,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,CREDIT_TO_ANNUITY,21.899275523019934,7.659403107813201,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,YEARS_EMPLOYED,6.973540792027966,6.387611692068948,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,FLAG_SENTINEL_EMPLOYED,0.14455776073957224,0.3516576216261519,0.0,0.8554422392604277,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,NAME_CONTRACT_TYPE,0.98842584100664,0.10695984145176474,1.0,0.98842584100664,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,OWN_CAR_AGE,3.9134047470560183,8.421796132991508,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,FLAG_NO_CAR,0.6708976851682014,0.4698915100388142,1.0,0.6708976851682014,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,FLAG_NO_HOUSING_DATA,0.47021167320884844,0.4991164443655061,0.0,0.5297883267911515,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,EXT_SOURCE_1,0.5093428298036319,0.14249164899430647,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,EXT_SOURCE_2,0.517750538712333,0.19032497737018633,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,EXT_SOURCE_3,0.4909242897702002,0.17649522877338056,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,FLAG_EXT_SOURCE_1_MISSING,0.5170219010235152,0.49971475393101294,1.0,0.5170219010235152,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,FLAG_EXT_SOURCE_2_MISSING,0.00027513848637147366,0.016585168996261754,0.0,0.9997248615136285,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,FLAG_EXT_SOURCE_3_MISSING,0.17087934260244322,0.3764069495760113,0.0,0.8291206573975568,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,AMT_REQ_CREDIT_BUREAU_YEAR,2.5888147034007116,1.8406513767695087,1.0,0.2830257896474559,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,FLAG_NO_BUREAU,0.1242158553138413,0.32983067179770614,0.0,0.8757841446861587,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,BUREAU_COUNT,5.465039069665065,4.957620468086723,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,BUREAU_ACTIVE_RATIO,0.38202886915059664,0.3136327997383012,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,BUREAU_DEBT_TO_CREDIT_RATIO,0.27740398335299915,0.29604057514490795,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,BUREAU_DAYS_CREDIT_MEAN,-970.1942011358161,626.9209352180068,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,BUREAU_BB_DPD_RATIO_MEAN,0.0068455697439491585,0.03065858670950742,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,BUREAU_BB_SEVERE_DPD_MEAN,0.0007625541298282171,0.01454824044077992,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,PREV_COUNT,6.62953519938369,4.327256042995216,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,PREV_APPROVAL_RATE,0.6734770866585322,0.25444868446863866,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,PREV_REFUSED_COUNT,1.185223229025276,1.9847059812760606,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,INST_DPD_MEAN,0.4671278075632968,0.7840782005967479,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,INST_DPD_MAX,14.584834366631204,31.510591068241958,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,INST_COUNT,99.62269342235592,52.71304966791324,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,INST_LATE_RATIO,0.06594086198077247,0.07569693710107424,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,INST_SEVERE_LATE_RATIO,0.0013645738214508789,0.005612702078588374,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,INST_PAYMENT_RATIO_MEAN,1.1144425867308578,6.454571932803295,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,POS_SK_DPD_MEAN,2.168757920743672,44.22230337156845,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,POS_MONTHS_COUNT,35.770296049011336,27.3480032619396,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,CC_UTILIZATION_MEAN,0.5504968771658973,0.26208245240059186,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,CC_UTILIZATION_MAX,1.0081245146112712,0.12798940899394606,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,CC_SK_DPD_MEAN,4.8946334686606425,51.53741340712082,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,CC_AMT_BALANCE_MEAN,123541.07710016576,123474.32621907453,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,CC_MONTHS_COUNT,49.57874463479951,35.38680353459622,,,True,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,GOODS_TO_CREDIT,0.882582512663769,0.09457343402226237,,,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,YEARS_BIRTH,44.1544789279097,10.461098360638331,,,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,CNT_CHILDREN,0.4092776697604461,0.729857741387526,0.0,0.7110128764811622,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,REGION_RATING_CLIENT_W_CITY,1.9957628673098793,0.5145144837919958,2.0,0.7352617484133681,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,NAME_EDUCATION_TYPE,1.4673869180821013,0.8466591420270805,1.0,0.734491360651528,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,NAME_INCOME_TYPE_FREQ,0.3609406450844699,0.1651970934211679,0.51453876,0.5221578194357827,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,ORGANIZATION_TYPE_FREQ,0.14052781200863937,0.0985020440004063,0.27434,0.2881250229282072,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,DEF_30_CNT_SOCIAL_CIRCLE_BIN,0.15180307421402106,0.4252706255701751,0.0,0.8742433691624785,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,CODE_GENDER,0.6737591254264647,0.46884090931081707,1.0,0.6737591254264647,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_EXT_SOURCE_1,0.5127555658142853,0.20498098006258397,,,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_EXT_SOURCE_2,0.517737576507169,0.19034956202065575,,,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_EXT_SOURCE_3,0.4821533464181682,0.19266691695323768,,,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_AMT_INCOME_TOTAL,181875.46457573646,99339.98565717641,,,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_AMT_REQ_CREDIT_BUREAU_MON,0.25505337686635604,0.9658824268299568,0.0,0.8542499724861513,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_AMT_REQ_CREDIT_BUREAU_QRT,0.2942881250229282,0.6370163089800478,0.0,0.7864925345757364,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_AMT_REQ_CREDIT_BUREAU_YEAR,2.5981327268058254,1.8756903574011758,,,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_AMT_CREDIT,615153.5334384973,367361.3197823894,,,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_AMT_ANNUITY,27772.32514949191,13152.236051769069,,,False,All applications in the portfolio
Historical Card-Use Intensity,54518,356255,0.1530308346549522,SOURCE_AMT_GOODS_PRICE,544394.1517755603,335725.69204515906,,,False,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,AMT_INCOME_TOTAL,188749.57691634583,86922.42314368303,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,AMT_CREDIT,524917.4355967798,310349.96469151886,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,AMT_ANNUITY,27155.287801890096,13249.562695518382,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,CREDIT_TO_INCOME,3.0286880947925097,1.754104140673263,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,ANNUITY_TO_INCOME,0.15763818116266295,0.07422108187606759,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,CREDIT_TO_ANNUITY,19.544764897700784,7.09349307622283,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,YEARS_EMPLOYED,6.99227992141025,6.439848365326915,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,FLAG_SENTINEL_EMPLOYED,0.21907206471434681,0.4136215927063112,0.0,0.7809279352856532,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,NAME_CONTRACT_TYPE,0.9265935518998172,0.2608050308955597,1.0,0.9265935518998172,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,OWN_CAR_AGE,3.937677439427527,8.706681653730888,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,FLAG_NO_CAR,0.6535215649671372,0.47585242693856705,1.0,0.6535215649671372,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,FLAG_NO_HOUSING_DATA,0.4578228911445572,0.4982227597621549,0.0,0.5421771088554428,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,EXT_SOURCE_1,0.5086419937401617,0.1405373937976417,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,EXT_SOURCE_2,0.5125856598183611,0.18826696714600627,,,True,All applications in the portfolio
History-Rich Credit User,51426,356255,0.14435165822234075,EXT_SOURCE_3,0.4594833662997517,0.18788127856364745,,,True,All applications in the portfolio
