rank,short_rule,Context,support,confidence,lift,exposure_adjusted_lift,kulczynski,imbalance_ratio,cosine
1,external_score_strong → bureau_debt_low,History-Rich Credit User,0.17030263106908977,0.6431079894644425,1.213075166035074,1.2418433988156539,0.48217234798296127,0.42476970317297846,0.45452160835360295
2,card_utilisation_high → external_score_weak,Historical Card-Use Intensity,0.10299941331768847,0.47059809013235043,1.3623641116808514,1.3623641116808516,0.38438879614095894,0.27435316561344936,0.3745967221268781
3,previous_refusals_repeated → repayment_some_late,Portfolio-wide,0.06217737294915159,0.6008191385483346,1.3510457189247986,1.0650576895763497,0.3703178562670789,0.7020722396128123,0.28983525240546887
4,bureau_debt_high → external_score_weak,Lower-Intensity Credit Footprint,0.036205058467014196,0.5591857902242966,1.4751345416548516,1.4751345416548516,0.32734744580084135,0.7711396680258659,0.23110026466303776
5,"bureau_debt_moderate, previous_refusals_repeated → external_score_weak",History-Rich Credit User,0.08765063742395474,0.519940236754396,1.3353334019924066,1.3353334019924066,0.3725242309313106,0.4694735107522452,0.34211522014978
6,repayment_clean_observed → previous_outcome_mixed,Historical Card-Use Intensity,0.10125770020533881,0.49193907544312815,1.2380531043681071,1.2721003640173194,0.3733861390227222,0.38156116448113375,0.3540655448930251
7,"burden_under_20pct, external_score_weak → bureau_debt_moderate",History-Rich Credit User,0.13219281590266208,0.44738049963936793,1.2371335177276366,1.2129213472693898,0.4064654976096652,0.1260104085926254,0.4044009932677987
8,"credit_large, previous_approval_high → external_score_strong",Historical Card-Use Intensity,0.06855016133763567,0.41142165492957744,1.3225237356482127,1.3225237356482127,0.3158888095487114,0.35309405386028586,0.3010966878787238
9,"leverage_over_6x, repayment_clean_observed → previous_approval_high",Portfolio-wide,0.049397201442786774,0.643860676130543,1.2283049799452008,0.9766243439629066,0.3690483177593982,0.8113478353810606,0.24632261067050107
10,"credit_large, repayment_clean_observed → external_score_strong",Portfolio-wide,0.06138861208965488,0.42943821548490974,1.2889622843795414,1.2889622843795416,0.30684831611370145,0.45864946632464515,0.28129629516573995
11,"bureau_debt_moderate, external_score_strong → burden_under_20pct",Larger-Loan Affordability,0.043820534440264625,0.513246605260659,1.2427784071000751,1.2427784071000751,0.3096769550381114,0.7207348613216801,0.2333649802132832
12,"card_utilisation_moderate, previous_approval_high → repayment_some_late",Lower-Intensity Credit Footprint,0.03482837643859075,0.4667041619797525,1.2705577655322908,0.9389743065227738,0.28076055486893836,0.7189426586115177,0.21036031979661313
