rank,antecedent,consequent,antecedent_source,consequent_source,support,support_count,confidence,lift,headline_lift,exposure_sensitive,business_theme,Context,antecedent_count,crosses_source
1,external_score_strong,bureau_debt_low,external_score,bureau_history,0.17030263106908977,8790,0.6431079894644425,1.213075166035074,1.2418433988156539,True,Lower-concern evidence agrees,History-Rich Credit User,1,True
2,card_utilisation_high,external_score_weak,card_history,external_score,0.10299941331768847,5618,0.47059809013235043,1.3623641116808514,1.3623641116808514,False,Concern signals converge,Historical Card-Use Intensity,1,True
3,previous_refusals_repeated,repayment_some_late,previous_application,instalment_history,0.06217737294915159,22151,0.6008191385483346,1.3510457189247986,1.0650576895763497,True,Concern signals converge,Portfolio-wide,1,True
4,bureau_debt_high,external_score_weak,bureau_history,external_score,0.036205058467014196,4313,0.5591857902242966,1.4751345416548516,1.4751345416548516,False,Concern signals converge,Lower-Intensity Credit Footprint,1,True
5,bureau_debt_moderate,external_score_weak,bureau_history,external_score,0.08765063742395474,4524,0.519940236754396,1.3353334019924066,1.3353334019924066,False,Concern signals converge,History-Rich Credit User,2,True
5,previous_refusals_repeated,external_score_weak,previous_application,external_score,0.08765063742395474,4524,0.519940236754396,1.3353334019924066,1.3353334019924066,False,Concern signals converge,History-Rich Credit User,2,True
6,repayment_clean_observed,previous_outcome_mixed,instalment_history,previous_application,0.10125770020533881,5523,0.49193907544312815,1.2380531043681071,1.2721003640173194,True,Evidence conflict to reconcile,Historical Card-Use Intensity,1,True
7,burden_under_20pct,bureau_debt_moderate,current_application_affordability,bureau_history,0.13219281590266208,6823,0.44738049963936793,1.2371335177276366,1.2129213472693898,True,Evidence conflict to reconcile,History-Rich Credit User,2,True
7,external_score_weak,bureau_debt_moderate,external_score,bureau_history,0.13219281590266208,6823,0.44738049963936793,1.2371335177276366,1.2129213472693898,True,Evidence conflict to reconcile,History-Rich Credit User,2,True
8,credit_large,external_score_strong,current_application_affordability,external_score,0.06855016133763567,3739,0.41142165492957744,1.3225237356482127,1.3225237356482127,False,Lower-concern evidence agrees,Historical Card-Use Intensity,2,True
8,previous_approval_high,external_score_strong,previous_application,external_score,0.06855016133763567,3739,0.41142165492957744,1.3225237356482127,1.3225237356482127,False,Lower-concern evidence agrees,Historical Card-Use Intensity,2,True
9,leverage_over_6x,previous_approval_high,current_application_affordability,previous_application,0.049397201442786774,17598,0.643860676130543,1.2283049799452008,0.9766243439629066,True,Evidence conflict to reconcile,Portfolio-wide,2,True
9,repayment_clean_observed,previous_approval_high,instalment_history,previous_application,0.049397201442786774,17598,0.643860676130543,1.2283049799452008,0.9766243439629066,True,Evidence conflict to reconcile,Portfolio-wide,2,True
10,credit_large,external_score_strong,current_application_affordability,external_score,0.06138861208965488,21870,0.42943821548490974,1.2889622843795414,1.2889622843795414,False,Lower-concern evidence agrees,Portfolio-wide,2,True
10,repayment_clean_observed,external_score_strong,instalment_history,external_score,0.06138861208965488,21870,0.42943821548490974,1.2889622843795414,1.2889622843795414,False,Lower-concern evidence agrees,Portfolio-wide,2,True
11,bureau_debt_moderate,burden_under_20pct,bureau_history,current_application_affordability,0.043820534440264625,5405,0.513246605260659,1.2427784071000751,1.2427784071000751,False,Evidence conflict to reconcile,Larger-Loan Affordability,2,True
11,external_score_strong,burden_under_20pct,external_score,current_application_affordability,0.043820534440264625,5405,0.513246605260659,1.2427784071000751,1.2427784071000751,False,Evidence conflict to reconcile,Larger-Loan Affordability,2,True
12,card_utilisation_moderate,repayment_some_late,card_history,instalment_history,0.03482837643859075,4149,0.4667041619797525,1.2705577655322908,0.9389743065227738,True,Evidence conflict to reconcile,Lower-Intensity Credit Footprint,2,True
12,previous_approval_high,repayment_some_late,previous_application,instalment_history,0.03482837643859075,4149,0.4667041619797525,1.2705577655322908,0.9389743065227738,True,Evidence conflict to reconcile,Lower-Intensity Credit Footprint,2,True
