normalized_rule,support,confidence,lift,support_min,support_max,confidence_min,confidence_max,lift_min,lift_max,algorithm,rule_str,context_n,support_count,appears_in,n_algos,metric_spread,is_consistent,context,target_cluster,antecedents,consequents,antecedent support,consequent support,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,selection_reason,families,source_signature,business_screen,decorative_antecedent,pattern_key,consequent_key,antecedent_count,business_score,display_redundant_superpattern,rank,metric_scope
{external_score_strong} -> {bureau_debt_low},0.17185859292964648,0.6427168933168497,1.210398760600297,,,,,,,fpgrowth_segment,{external_score_strong} -> {bureau_debt_low},51426,8838,fpgrowth_segment,1,,False,cluster_2_history_rich,cluster_2_history_rich,frozenset({'external_score_strong'}),frozenset({'bureau_debt_low'}),0.26739392525181815,0.5309959942441567,1.0,0.02987348973570958,1.3126957221959294,0.2372707436203651,0.2743016759776536,0.23820883766790957,0.4831850845168494,accepted_cross_source,"['bureau_debt', 'external_score']",bureau_history+external_score,supportive_convergence,False,bureau_debt_low | external_score_strong,bureau_debt_low,1,0.06166535036297611,False,1,Within-segment FP-Growth. Metrics use the segment denominator.
{card_utilisation_high} -> {external_score_weak},0.10304853442899593,0.4705980901323505,1.3627996748026923,,,,,,,fpgrowth_segment,{card_utilisation_high} -> {external_score_weak},54518,5618,fpgrowth_segment,1,,False,cluster_4_card_intensive,cluster_4_card_intensive,frozenset({'card_utilisation_high'}),frozenset({'external_score_weak'}),0.21897355002017682,0.34531714296195753,1.0,0.02743321375179117,1.2366461941962266,0.34085457382923867,0.22341525491131792,0.19136127641587702,0.3845075864451193,accepted_cross_source,"['card_use', 'external_score']",card_history+external_score,adverse_convergence,False,card_utilisation_high | external_score_weak,external_score_weak,1,0.06028796773559325,False,2,Within-segment FP-Growth. Metrics use the segment denominator.
{previous_refusals_repeated} -> {repayment_some_late},0.06217737294915159,0.6008191385483346,1.3510457189247986,0.06217737294915159,0.06217737294915159,0.6008191385483346,0.6008191385483346,1.3510457189247986,1.3510457189247986,"['apriori', 'eclat', 'fpgrowth']",{previous_refusals_repeated} -> {repayment_some_late},356255,22151,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide,global,,,,,,,,,,,,accepted_cross_source,"['previous_outcome', 'repayment_history']",instalment_history+previous_application,adverse_convergence,False,previous_refusals_repeated | repayment_some_late,repayment_some_late,1,0.05785172444026462,False,3,Full portfolio. Three algorithms enumerated the same rule.
{bureau_debt_high} -> {external_score_weak},0.03747485327614012,0.56926379593383,1.4630393340183767,,,,,,,fpgrowth_segment,{bureau_debt_high} -> {external_score_weak},120294,4508,fpgrowth_segment,1,,False,cluster_0_lower_intensity,cluster_0_lower_intensity,frozenset({'bureau_debt_high'}),frozenset({'external_score_weak'}),0.06583038223020267,0.3890967130530201,1.0,0.011860467931344317,1.4182770827713673,0.3387943381831138,0.08977039647927992,0.2949191577953427,0.3327881172550405,accepted_cross_source,"['bureau_debt', 'external_score']",bureau_history+external_score,adverse_convergence,False,bureau_debt_high | external_score_weak,external_score_weak,1,0.05612987886243007,False,4,Within-segment FP-Growth. Metrics use the segment denominator.
{bureau_debt_moderate} -> {external_score_weak},0.167522265002139,0.4641952691416563,1.202241433867789,,,,,,,fpgrowth_segment,{bureau_debt_moderate} -> {external_score_weak},51426,8615,fpgrowth_segment,1,,False,cluster_2_history_rich,cluster_2_history_rich,frozenset({'bureau_debt_moderate'}),frozenset({'external_score_weak'}),0.3608874888188854,0.3861081942986038,1.0,0.028180648349321574,1.1457379346351781,0.26320923627527043,0.2890939597315436,0.12720006052831223,0.4490345805821094,accepted_cross_source,"['bureau_debt', 'external_score']",bureau_history+external_score,adverse_convergence,False,bureau_debt_moderate | external_score_weak,external_score_weak,1,0.04226684186809655,False,5,Within-segment FP-Growth. Metrics use the segment denominator.
{repayment_clean_observed} -> {previous_outcome_mixed},0.1012693055504604,0.49224322396576325,1.2388568038115355,,,,,,,fpgrowth_segment,{repayment_clean_observed} -> {previous_outcome_mixed},54518,5521,fpgrowth_segment,1,,False,cluster_4_card_intensive,cluster_4_card_intensive,frozenset({'repayment_clean_observed'}),frozenset({'previous_outcome_mixed'}),0.20573021754282989,0.39733665945192415,1.0,0.019525148163674733,1.1869134376799333,0.2427439786738583,0.2018130642979859,0.15747857572940954,0.3735567518591627,accepted_cross_source,"['previous_outcome', 'repayment_history']",instalment_history+previous_application,mixed_evidence_reconcile,False,previous_outcome_mixed | repayment_clean_observed,previous_outcome_mixed,1,0.04115749785483313,False,6,Within-segment FP-Growth. Metrics use the segment denominator.
"{credit_small, external_score_weak} -> {previous_refusals_repeated}",0.07165636059580757,0.5590109223300971,1.2628023585217472,,,,,,,fpgrowth_segment,"{credit_small, external_score_weak} -> {previous_refusals_repeated}",51426,3685,fpgrowth_segment,1,,False,cluster_2_history_rich,cluster_2_history_rich,"frozenset({'external_score_weak', 'credit_small'})",frozenset({'previous_refusals_repeated'}),0.12818418698712714,0.4426749115233539,1.0,0.01491243696258801,1.2638070117777953,0.23870918616777143,0.14354160174509192,0.20873994946957794,0.36044110799131696,accepted_cross_source,"['credit_size', 'external_score', 'previous_outcome']",current_application_affordability+external_score+previous_application,adverse_convergence,False,credit_small | external_score_weak | previous_refusals_repeated,previous_refusals_repeated,2,0.039325741971291565,False,7,Within-segment FP-Growth. Metrics use the segment denominator.
"{credit_large, previous_approval_high} -> {external_score_strong}",0.06832605744891596,0.4101519489099318,1.31890196712703,,,,,,,fpgrowth_segment,"{credit_large, previous_approval_high} -> {external_score_strong}",54518,3725,fpgrowth_segment,1,,False,cluster_4_card_intensive,cluster_4_card_intensive,"frozenset({'credit_large', 'previous_approval_high'})",frozenset({'external_score_strong'}),0.16658718221504823,0.3109798598627976,1.0,0.01652079886874193,1.1681315872178595,0.2901245678706712,0.1669580027788983,0.14393206129995906,0.31493205561575394,accepted_cross_source,"['credit_size', 'external_score', 'previous_outcome']",current_application_affordability+external_score+previous_application,supportive_convergence,False,credit_large | external_score_strong | previous_approval_high,external_score_strong,2,0.034189689648814164,False,8,Within-segment FP-Growth. Metrics use the segment denominator.
"{leverage_over_6x, repayment_clean_observed} -> {previous_approval_high}",0.049397201442786774,0.643860676130543,1.2283049799452008,0.04939720144278677,0.04939720144278677,0.643860676130543,0.643860676130543,1.2283049799452008,1.2283049799452008,"['apriori', 'eclat', 'fpgrowth']","{leverage_over_6x, repayment_clean_observed} -> {previous_approval_high}",356255,17598,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide,global,,,,,,,,,,,,accepted_cross_source,"['leverage', 'previous_outcome', 'repayment_history']",current_application_affordability+instalment_history+previous_application,mixed_evidence_reconcile,False,leverage_over_6x | previous_approval_high | repayment_clean_observed,previous_approval_high,2,0.0326707014153996,False,9,Full portfolio. Three algorithms enumerated the same rule.
"{credit_large, repayment_clean_observed} -> {external_score_strong}",0.06138861208965488,0.42943821548490974,1.2889622843795414,0.06138861208965488,0.06138861208965488,0.42943821548490974,0.42943821548490974,1.2889622843795414,1.2889622843795414,"['apriori', 'eclat', 'fpgrowth']","{credit_large, repayment_clean_observed} -> {external_score_strong}",356255,21870,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide,global,,,,,,,,,,,,accepted_cross_source,"['credit_size', 'external_score', 'repayment_history']",current_application_affordability+external_score+instalment_history,supportive_convergence,False,credit_large | external_score_strong | repayment_clean_observed,external_score_strong,2,0.03074579723671966,False,10,Full portfolio. Three algorithms enumerated the same rule.
