antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,algorithm,context,context_n,support_count,rule_str,normalized_rule
frozenset({'cluster_3_high_exposure'}),frozenset({'burden_20_to_35pct'}),0.3366605380977109,0.2896268122552666,0.15544483586195282,0.46172573934649025,1.5942092368835723,1.0,0.05793891740057007,1.3197234935259234,0.5618989794442475,0.33014188625253366,0.2422655162951701,0.49921653943802735,apriori,Portfolio-wide,356255,55378,{cluster_3_high_exposure} -> {burden_20_to_35pct},{cluster_3_high_exposure} -> {burden_20_to_35pct}
frozenset({'burden_20_to_35pct'}),frozenset({'cluster_3_high_exposure'}),0.2896268122552666,0.3366605380977109,0.15544483586195282,0.5367073395295645,1.5942092368835723,1.0,0.05793891740057007,1.4317935907482813,0.5246957136027631,0.33014188625253366,0.3015753063418995,0.49921653943802735,apriori,Portfolio-wide,356255,55378,{burden_20_to_35pct} -> {cluster_3_high_exposure},{burden_20_to_35pct} -> {cluster_3_high_exposure}
frozenset({'credit_large'}),frozenset({'burden_20_to_35pct'}),0.3220389889264712,0.2896268122552666,0.13865068560441257,0.43054005996792416,1.4865338489050584,1.0,0.04537955981972962,1.247450677048012,0.482762512407073,0.29312104632256075,0.19836509899820928,0.45463095883714244,apriori,Portfolio-wide,356255,49395,{credit_large} -> {burden_20_to_35pct},{credit_large} -> {burden_20_to_35pct}
frozenset({'burden_20_to_35pct'}),frozenset({'credit_large'}),0.2896268122552666,0.3220389889264712,0.13865068560441257,0.47872185770636067,1.4865338489050581,1.0,0.04537955981972962,1.3005744075331458,0.46073552136585794,0.29312104632256075,0.231108966770504,0.45463095883714244,apriori,Portfolio-wide,356255,49395,{burden_20_to_35pct} -> {credit_large},{burden_20_to_35pct} -> {credit_large}
frozenset({'income_q1'}),frozenset({'burden_20_to_35pct'}),0.320088139113837,0.2896268122552666,0.12809364079100644,0.4001824033393842,1.3817173908149012,1.0,0.03538753341874551,1.1843153513661777,0.4063217828206362,0.26596339899755217,0.155630298259293,0.4212268758732761,apriori,Portfolio-wide,356255,45634,{income_q1} -> {burden_20_to_35pct},{income_q1} -> {burden_20_to_35pct}
frozenset({'burden_20_to_35pct'}),frozenset({'income_q1'}),0.2896268122552666,0.320088139113837,0.12809364079100644,0.442271348407168,1.3817173908149012,1.0,0.03538753341874551,1.2190728572835279,0.3888984047289731,0.26596339899755217,0.17970448277528728,0.4212268758732761,apriori,Portfolio-wide,356255,45634,{burden_20_to_35pct} -> {income_q1},{burden_20_to_35pct} -> {income_q1}
frozenset({'burden_20_to_35pct'}),frozenset({'leverage_3_to_6x'}),0.2896268122552666,0.3596637240179085,0.13766262929643092,0.47531037691047767,1.3215410539618693,1.0,0.03349437142526611,1.2204096437272924,0.34250680986256943,0.26906786635211494,0.18060300068928703,0.4290320498169595,apriori,Portfolio-wide,356255,49043,{burden_20_to_35pct} -> {leverage_3_to_6x},{burden_20_to_35pct} -> {leverage_3_to_6x}
frozenset({'leverage_3_to_6x'}),frozenset({'burden_20_to_35pct'}),0.3596637240179085,0.2896268122552666,0.13766262929643092,0.38275372272344144,1.3215410539618693,1.0,0.03349437142526611,1.1508748029701752,0.3799685625700167,0.26906786635211494,0.13109575653302838,0.4290320498169595,apriori,Portfolio-wide,356255,49043,{leverage_3_to_6x} -> {burden_20_to_35pct},{leverage_3_to_6x} -> {burden_20_to_35pct}
frozenset({'leverage_over_6x'}),frozenset({'burden_20_to_35pct'}),0.16586995270241822,0.2896268122552666,0.10961530364486112,0.6608508765992012,2.2817323833152265,1.0,0.06157491799472789,2.0945747422888967,0.6734399638876061,0.3169158104883868,0.5225761201974458,0.5196608595496369,apriori,Portfolio-wide,356255,39051,{leverage_over_6x} -> {burden_20_to_35pct},{leverage_over_6x} -> {burden_20_to_35pct}
frozenset({'burden_20_to_35pct'}),frozenset({'leverage_over_6x'}),0.2896268122552666,0.16586995270241822,0.10961530364486112,0.3784708425000727,2.281732383315227,1.0,0.06157491799472789,1.342061007488099,0.7907625437173816,0.3169158104883868,0.2548773905057608,0.5196608595496369,apriori,Portfolio-wide,356255,39051,{burden_20_to_35pct} -> {leverage_over_6x},{burden_20_to_35pct} -> {leverage_over_6x}
