antecedents,consequents,support,confidence,lift,algorithm,context,context_n,support_count,rule_str,normalized_rule
"frozenset({'cluster_3_high_exposure', 'bureau_debt_low'})",frozenset({'burden_20_to_35pct'}),0.08557072883187604,0.46714579055441474,1.612923150715374,eclat,Portfolio-wide,356255,30485,"{bureau_debt_low, cluster_3_high_exposure} -> {burden_20_to_35pct}","{bureau_debt_low, cluster_3_high_exposure} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_low', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.08557072883187604,0.5596350485561654,1.6623125826340222,eclat,Portfolio-wide,356255,30485,"{burden_20_to_35pct, bureau_debt_low} -> {cluster_3_high_exposure}","{burden_20_to_35pct, bureau_debt_low} -> {cluster_3_high_exposure}"
"frozenset({'credit_file_deep', 'burden_20_to_35pct'})",frozenset({'bureau_debt_low'}),0.0338465425046666,0.6387667531917148,1.2659385602852395,eclat,Portfolio-wide,356255,12058,"{burden_20_to_35pct, credit_file_deep} -> {bureau_debt_low}","{burden_20_to_35pct, credit_file_deep} -> {bureau_debt_low}"
"frozenset({'credit_file_thin', 'burden_20_to_35pct'})",frozenset({'bureau_debt_low'}),0.049197905994301835,0.6703511053315995,1.3285339428340666,eclat,Portfolio-wide,356255,17527,"{burden_20_to_35pct, credit_file_thin} -> {bureau_debt_low}","{burden_20_to_35pct, credit_file_thin} -> {bureau_debt_low}"
"frozenset({'credit_large', 'bureau_debt_low'})",frozenset({'burden_20_to_35pct'}),0.075263505073613,0.44316078275816473,1.5301096583819693,eclat,Portfolio-wide,356255,26813,"{bureau_debt_low, credit_large} -> {burden_20_to_35pct}","{bureau_debt_low, credit_large} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_low', 'burden_20_to_35pct'})",frozenset({'credit_large'}),0.075263505073613,0.49222550621408767,1.5284655682684245,eclat,Portfolio-wide,356255,26813,"{burden_20_to_35pct, bureau_debt_low} -> {credit_large}","{burden_20_to_35pct, bureau_debt_low} -> {credit_large}"
"frozenset({'external_score_strong', 'burden_20_to_35pct'})",frozenset({'bureau_debt_low'}),0.06269385692832381,0.6195046182009819,1.2277639381460221,eclat,Portfolio-wide,356255,22335,"{burden_20_to_35pct, external_score_strong} -> {bureau_debt_low}","{burden_20_to_35pct, external_score_strong} -> {bureau_debt_low}"
"frozenset({'bureau_debt_low', 'burden_20_to_35pct'})",frozenset({'external_score_strong'}),0.06269385692832381,0.41001964275879793,1.2306772809543656,eclat,Portfolio-wide,356255,22335,"{burden_20_to_35pct, bureau_debt_low} -> {external_score_strong}","{burden_20_to_35pct, bureau_debt_low} -> {external_score_strong}"
"frozenset({'income_q1', 'bureau_debt_low'})",frozenset({'burden_20_to_35pct'}),0.06596117949221765,0.4039988997008562,1.3948946803474334,eclat,Portfolio-wide,356255,23499,"{bureau_debt_low, income_q1} -> {burden_20_to_35pct}","{bureau_debt_low, income_q1} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_low', 'burden_20_to_35pct'})",frozenset({'income_q1'}),0.06596117949221765,0.43138802709599244,1.347716376777624,eclat,Portfolio-wide,356255,23499,"{burden_20_to_35pct, bureau_debt_low} -> {income_q1}","{burden_20_to_35pct, bureau_debt_low} -> {income_q1}"
"frozenset({'income_q2', 'bureau_debt_low'})",frozenset({'burden_20_to_35pct'}),0.032476737168601146,0.35483178458613185,1.2251344474053596,eclat,Portfolio-wide,356255,11570,"{bureau_debt_low, income_q2} -> {burden_20_to_35pct}","{bureau_debt_low, income_q2} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_low', 'leverage_3_to_6x'})",frozenset({'burden_20_to_35pct'}),0.07134496357945853,0.38879371003762964,1.342395432971727,eclat,Portfolio-wide,356255,25417,"{bureau_debt_low, leverage_3_to_6x} -> {burden_20_to_35pct}","{bureau_debt_low, leverage_3_to_6x} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_low', 'burden_20_to_35pct'})",frozenset({'leverage_3_to_6x'}),0.07134496357945853,0.4665981311842564,1.2973177443967725,eclat,Portfolio-wide,356255,25417,"{burden_20_to_35pct, bureau_debt_low} -> {leverage_3_to_6x}","{burden_20_to_35pct, bureau_debt_low} -> {leverage_3_to_6x}"
"frozenset({'bureau_debt_low', 'leverage_over_6x'})",frozenset({'burden_20_to_35pct'}),0.05837672453719948,0.6588000506842372,2.2746514576958248,eclat,Portfolio-wide,356255,20797,"{bureau_debt_low, leverage_over_6x} -> {burden_20_to_35pct}","{bureau_debt_low, leverage_over_6x} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_low', 'burden_20_to_35pct'})",frozenset({'leverage_over_6x'}),0.05837672453719948,0.3817854717015769,2.3017156843742854,eclat,Portfolio-wide,356255,20797,"{burden_20_to_35pct, bureau_debt_low} -> {leverage_over_6x}","{burden_20_to_35pct, bureau_debt_low} -> {leverage_over_6x}"
"frozenset({'cluster_3_high_exposure', 'bureau_debt_moderate'})",frozenset({'burden_20_to_35pct'}),0.038896296192334145,0.42798900454026007,1.4777257713386218,eclat,Portfolio-wide,356255,13857,"{bureau_debt_moderate, cluster_3_high_exposure} -> {burden_20_to_35pct}","{bureau_debt_moderate, cluster_3_high_exposure} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_moderate', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.038896296192334145,0.5252444848760519,1.560160533942969,eclat,Portfolio-wide,356255,13857,"{burden_20_to_35pct, bureau_debt_moderate} -> {cluster_3_high_exposure}","{burden_20_to_35pct, bureau_debt_moderate} -> {cluster_3_high_exposure}"
"frozenset({'credit_file_established', 'burden_20_to_35pct'})",frozenset({'bureau_debt_moderate'}),0.041012757715681185,0.3551876701672501,1.2011256246896855,eclat,Portfolio-wide,356255,14611,"{burden_20_to_35pct, credit_file_established} -> {bureau_debt_moderate}","{burden_20_to_35pct, credit_file_established} -> {bureau_debt_moderate}"
"frozenset({'bureau_debt_moderate', 'burden_20_to_35pct'})",frozenset({'credit_file_established'}),0.041012757715681185,0.5538245773633538,1.364170963608203,eclat,Portfolio-wide,356255,14611,"{burden_20_to_35pct, bureau_debt_moderate} -> {credit_file_established}","{burden_20_to_35pct, bureau_debt_moderate} -> {credit_file_established}"
"frozenset({'credit_large', 'bureau_debt_moderate'})",frozenset({'burden_20_to_35pct'}),0.03783525845251295,0.3936393902225337,1.3591262050545037,eclat,Portfolio-wide,356255,13479,"{bureau_debt_moderate, credit_large} -> {burden_20_to_35pct}","{bureau_debt_moderate, credit_large} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_moderate', 'burden_20_to_35pct'})",frozenset({'credit_large'}),0.03783525845251295,0.5109165340004549,1.5865052107622557,eclat,Portfolio-wide,356255,13479,"{burden_20_to_35pct, bureau_debt_moderate} -> {credit_large}","{burden_20_to_35pct, bureau_debt_moderate} -> {credit_large}"
"frozenset({'income_q1', 'bureau_debt_moderate'})",frozenset({'burden_20_to_35pct'}),0.03139605058174622,0.3823670176398195,1.3202058699690242,eclat,Portfolio-wide,356255,11185,"{bureau_debt_moderate, income_q1} -> {burden_20_to_35pct}","{bureau_debt_moderate, income_q1} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_moderate', 'burden_20_to_35pct'})",frozenset({'income_q1'}),0.03139605058174622,0.42396330831627627,1.3245205195357046,eclat,Portfolio-wide,356255,11185,"{burden_20_to_35pct, bureau_debt_moderate} -> {income_q1}","{burden_20_to_35pct, bureau_debt_moderate} -> {income_q1}"
"frozenset({'bureau_debt_moderate', 'burden_20_to_35pct'})",frozenset({'leverage_3_to_6x'}),0.034916001178930824,0.47149571677659013,1.3109348685749393,eclat,Portfolio-wide,356255,12439,"{burden_20_to_35pct, bureau_debt_moderate} -> {leverage_3_to_6x}","{burden_20_to_35pct, bureau_debt_moderate} -> {leverage_3_to_6x}"
"frozenset({'leverage_over_6x', 'bureau_debt_moderate'})",frozenset({'burden_20_to_35pct'}),0.03056237807188671,0.6797352977899863,2.3469349833222353,eclat,Portfolio-wide,356255,10888,"{bureau_debt_moderate, leverage_over_6x} -> {burden_20_to_35pct}","{bureau_debt_moderate, leverage_over_6x} -> {burden_20_to_35pct}"
"frozenset({'bureau_debt_moderate', 'burden_20_to_35pct'})",frozenset({'leverage_over_6x'}),0.03056237807188671,0.4127056326283072,2.4881277525214505,eclat,Portfolio-wide,356255,10888,"{burden_20_to_35pct, bureau_debt_moderate} -> {leverage_over_6x}","{burden_20_to_35pct, bureau_debt_moderate} -> {leverage_over_6x}"
"frozenset({'credit_file_none', 'burden_20_to_35pct'})",frozenset({'bureau_debt_not_observed'}),0.0477803820297259,1.0,7.062386012211561,eclat,Portfolio-wide,356255,17022,"{burden_20_to_35pct, credit_file_none} -> {bureau_debt_not_observed}","{burden_20_to_35pct, credit_file_none} -> {bureau_debt_not_observed}"
"frozenset({'bureau_debt_not_observed', 'burden_20_to_35pct'})",frozenset({'credit_file_none'}),0.0477803820297259,1.0,7.062386012211561,eclat,Portfolio-wide,356255,17022,"{burden_20_to_35pct, bureau_debt_not_observed} -> {credit_file_none}","{burden_20_to_35pct, bureau_debt_not_observed} -> {credit_file_none}"
"frozenset({'cluster_2_thin_file', 'burden_20_to_35pct'})",frozenset({'card_history_not_observed'}),0.049487024743512374,0.8911241407197736,1.25631657974619,eclat,Portfolio-wide,356255,17630,"{burden_20_to_35pct, cluster_2_thin_file} -> {card_history_not_observed}","{burden_20_to_35pct, cluster_2_thin_file} -> {card_history_not_observed}"
"frozenset({'cluster_3_high_exposure', 'card_history_not_observed'})",frozenset({'burden_20_to_35pct'}),0.13409496007073585,0.4630146545708304,1.5986594989787963,eclat,Portfolio-wide,356255,47772,"{card_history_not_observed, cluster_3_high_exposure} -> {burden_20_to_35pct}","{card_history_not_observed, cluster_3_high_exposure} -> {burden_20_to_35pct}"
"frozenset({'cluster_3_high_exposure', 'burden_20_to_35pct'})",frozenset({'card_history_not_observed'}),0.13409496007073585,0.8626530391130052,1.216177708675622,eclat,Portfolio-wide,356255,47772,"{burden_20_to_35pct, cluster_3_high_exposure} -> {card_history_not_observed}","{burden_20_to_35pct, cluster_3_high_exposure} -> {card_history_not_observed}"
"frozenset({'card_history_not_observed', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.13409496007073585,0.6375295263768967,1.8936865305902377,eclat,Portfolio-wide,356255,47772,"{burden_20_to_35pct, card_history_not_observed} -> {cluster_3_high_exposure}","{burden_20_to_35pct, card_history_not_observed} -> {cluster_3_high_exposure}"
"frozenset({'credit_large', 'card_history_not_observed'})",frozenset({'burden_20_to_35pct'}),0.09835370731638854,0.44320625363657057,1.5302666565481673,eclat,Portfolio-wide,356255,35039,"{card_history_not_observed, credit_large} -> {burden_20_to_35pct}","{card_history_not_observed, credit_large} -> {burden_20_to_35pct}"
"frozenset({'card_history_not_observed', 'burden_20_to_35pct'})",frozenset({'credit_large'}),0.09835370731638854,0.46760439325797715,1.4520117418600573,eclat,Portfolio-wide,356255,35039,"{burden_20_to_35pct, card_history_not_observed} -> {credit_large}","{burden_20_to_35pct, card_history_not_observed} -> {credit_large}"
"frozenset({'income_q1', 'card_history_not_observed'})",frozenset({'burden_20_to_35pct'}),0.09537550350170523,0.3947258364312267,1.3628773985308018,eclat,Portfolio-wide,356255,33978,"{card_history_not_observed, income_q1} -> {burden_20_to_35pct}","{card_history_not_observed, income_q1} -> {burden_20_to_35pct}"
"frozenset({'card_history_not_observed', 'burden_20_to_35pct'})",frozenset({'income_q1'}),0.09537550350170523,0.45344507760265834,1.4166256795956877,eclat,Portfolio-wide,356255,33978,"{burden_20_to_35pct, card_history_not_observed} -> {income_q1}","{burden_20_to_35pct, card_history_not_observed} -> {income_q1}"
"frozenset({'card_history_not_observed', 'leverage_3_to_6x'})",frozenset({'burden_20_to_35pct'}),0.10000982442351686,0.4006364484825314,1.383285081111292,eclat,Portfolio-wide,356255,35629,"{card_history_not_observed, leverage_3_to_6x} -> {burden_20_to_35pct}","{card_history_not_observed, leverage_3_to_6x} -> {burden_20_to_35pct}"
"frozenset({'card_history_not_observed', 'burden_20_to_35pct'})",frozenset({'leverage_3_to_6x'}),0.10000982442351686,0.47547809376376227,1.3220073696953853,eclat,Portfolio-wide,356255,35629,"{burden_20_to_35pct, card_history_not_observed} -> {leverage_3_to_6x}","{burden_20_to_35pct, card_history_not_observed} -> {leverage_3_to_6x}"
