antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,algorithm,context,context_n,support_count,rule_str,normalized_rule
frozenset({'leverage_under_3x'}),frozenset({'burden_under_20pct'}),0.47446632327967325,0.6564820142875187,0.4320304276431208,0.9105607847081304,1.387030817129642,1.0,0.12055182002488785,3.840798296267124,0.5309564308082014,0.6181418754744109,0.739637460011399,0.7843300983936162,fpgrowth,Portfolio-wide,356255,153913,{leverage_under_3x} -> {burden_under_20pct},{leverage_under_3x} -> {burden_under_20pct}
frozenset({'burden_under_20pct'}),frozenset({'leverage_under_3x'}),0.6564820142875187,0.47446632327967325,0.4320304276431208,0.658099412079102,1.387030817129642,1.0,0.12055182002488785,1.537094978151702,0.8122878477008881,0.6181418754744109,0.34942211495449577,0.7843300983936162,fpgrowth,Portfolio-wide,356255,153913,{burden_under_20pct} -> {leverage_under_3x},{burden_under_20pct} -> {leverage_under_3x}
"frozenset({'leverage_under_3x', 'card_history_not_observed'})",frozenset({'burden_under_20pct'}),0.3393131324472639,0.6564820142875187,0.30745112349300363,0.9060985092900515,1.3802335624890532,1.0,0.08469815482981619,3.6582804289398463,0.41696748524206734,0.44665329124970443,0.7266475275954185,0.6872149414435292,fpgrowth,Portfolio-wide,356255,109531,"{card_history_not_observed, leverage_under_3x} -> {burden_under_20pct}","{card_history_not_observed, leverage_under_3x} -> {burden_under_20pct}"
"frozenset({'card_history_not_observed', 'burden_under_20pct'})",frozenset({'leverage_under_3x'}),0.45759077065585047,0.47446632327967325,0.30745112349300363,0.6718910065697864,1.4160984112116668,1.0,0.09033971297321006,1.601704577573866,0.5417208501532701,0.49223212399840016,0.3756651419984578,0.6599422849403291,fpgrowth,Portfolio-wide,356255,109531,"{burden_under_20pct, card_history_not_observed} -> {leverage_under_3x}","{burden_under_20pct, card_history_not_observed} -> {leverage_under_3x}"
"frozenset({'leverage_under_3x', 'previous_approval_high'})",frozenset({'burden_under_20pct'}),0.235640201541031,0.6564820142875187,0.2130440274522463,0.904107304521847,1.3772004180542197,1.0,0.05835047329747339,3.5823165049181873,0.35832506002107906,0.3137253280975509,0.7208510195491958,0.6143155442972676,fpgrowth,Portfolio-wide,356255,75898,"{leverage_under_3x, previous_approval_high} -> {burden_under_20pct}","{leverage_under_3x, previous_approval_high} -> {burden_under_20pct}"
"frozenset({'previous_approval_high', 'burden_under_20pct'})",frozenset({'leverage_under_3x'}),0.3299939649969825,0.47446632327967325,0.2130440274522463,0.6455997686327214,1.360686179305868,1.0,0.056473004175646796,1.4828818669017625,0.39563327696452005,0.3602268682218372,0.32563744805286804,0.5473089980292299,fpgrowth,Portfolio-wide,356255,75898,"{burden_under_20pct, previous_approval_high} -> {leverage_under_3x}","{burden_under_20pct, previous_approval_high} -> {leverage_under_3x}"
"frozenset({'bureau_debt_low', 'leverage_under_3x'})",frozenset({'burden_under_20pct'}),0.23246550925601045,0.6564820142875187,0.20923495810585113,0.9000688264486759,1.3710487216097191,1.0,0.056625532337091555,3.43754579781906,0.35259824875910356,0.3078285862953281,0.709094784821646,0.6093951828662407,fpgrowth,Portfolio-wide,356255,74541,"{bureau_debt_low, leverage_under_3x} -> {burden_under_20pct}","{bureau_debt_low, leverage_under_3x} -> {burden_under_20pct}"
"frozenset({'bureau_debt_low', 'burden_under_20pct'})",frozenset({'leverage_under_3x'}),0.3220810935986863,0.47446632327967325,0.20923495810585113,0.6496344003555773,1.3691896947818814,1.0,0.05641832582818612,1.4999579789045434,0.39774818101739523,0.35625833401040946,0.3333146567677018,0.5453122572974886,fpgrowth,Portfolio-wide,356255,74541,"{burden_under_20pct, bureau_debt_low} -> {leverage_under_3x}","{burden_under_20pct, bureau_debt_low} -> {leverage_under_3x}"
"frozenset({'previous_approval_high', 'card_history_not_observed'})",frozenset({'repayment_clean_observed'}),0.3917530982021305,0.44839230326591906,0.21825658587247898,0.5571279126422286,1.2425010612009186,1.0,0.0425975118580659,1.245523735815096,0.32087580384218023,0.3509575673321267,0.197124895138526,0.5219407764435617,fpgrowth,Portfolio-wide,356255,77755,"{card_history_not_observed, previous_approval_high} -> {repayment_clean_observed}","{card_history_not_observed, previous_approval_high} -> {repayment_clean_observed}"
"frozenset({'leverage_under_3x', 'repayment_clean_observed'})",frozenset({'burden_under_20pct'}),0.21169667794136224,0.6564820142875187,0.19176151913657352,0.9058314991116179,1.3798268336333914,1.0,0.05278645758365191,3.6479075537121792,0.34919474535648953,0.28349593529672956,0.7258702460860388,0.5989681279630777,fpgrowth,Portfolio-wide,356255,68316,"{leverage_under_3x, repayment_clean_observed} -> {burden_under_20pct}","{leverage_under_3x, repayment_clean_observed} -> {burden_under_20pct}"
"frozenset({'repayment_clean_observed', 'burden_under_20pct'})",frozenset({'leverage_under_3x'}),0.2879005206944464,0.47446632327967325,0.19176151913657352,0.666068677729462,1.4038270896137957,1.0,0.05516241761237606,1.573777725153198,0.4039626030908097,0.33606682375627833,0.3645862538163349,0.5351156138971215,fpgrowth,Portfolio-wide,356255,68316,"{burden_under_20pct, repayment_clean_observed} -> {leverage_under_3x}","{burden_under_20pct, repayment_clean_observed} -> {leverage_under_3x}"
frozenset({'credit_medium'}),frozenset({'leverage_3_to_6x'}),0.3439278045220418,0.3596637240179085,0.1635682306213246,0.47558885461045003,1.3223153263762828,1.0,0.03986987565362378,1.2210577170445691,0.37153034664971935,0.30289106275924443,0.18103789358918598,0.46518493084844603,fpgrowth,Portfolio-wide,356255,58272,{credit_medium} -> {leverage_3_to_6x},{credit_medium} -> {leverage_3_to_6x}
frozenset({'leverage_3_to_6x'}),frozenset({'credit_medium'}),0.3596637240179085,0.3439278045220418,0.1635682306213246,0.4547810070864421,1.3223153263762828,1.0,0.03986987565362378,1.2033186737901767,0.38066050504373633,0.30289106275924443,0.16896494521253427,0.46518493084844603,fpgrowth,Portfolio-wide,356255,58272,{leverage_3_to_6x} -> {credit_medium},{leverage_3_to_6x} -> {credit_medium}
"frozenset({'credit_medium', 'repayment_clean_observed'})",frozenset({'leverage_3_to_6x'}),0.15091998708790053,0.3596637240179085,0.07303757140250663,0.4839489640293122,1.345559564981914,1.0,0.01875712681773766,1.2408390475907565,0.302462385423032,0.1669254160304854,0.19409370462541095,0.3435103981011919,fpgrowth,Portfolio-wide,356255,26020,"{credit_medium, repayment_clean_observed} -> {leverage_3_to_6x}","{credit_medium, repayment_clean_observed} -> {leverage_3_to_6x}"
