Review Type,Driver,records,mean_severity
Affordability / repayment review,Card or POS arrears,4230,2.0
Affordability / repayment review,Long instalment delay,2833,2.7444405224144015
Affordability / repayment review,Repeated underpayment,2133,2.0
Affordability / repayment review,High card utilisation,1985,2.0
Affordability / repayment review,Repeated severe instalment delays,1444,3.0
Affordability / repayment review,Late payments in bureau history,1259,3.0
Affordability / repayment review,High credit compared with income,1140,2.556140350877193
Affordability / repayment review,Repeated previous application refusals,1079,1.0
Affordability / repayment review,Frequent instalment delays,985,2.0
Affordability / repayment review,Low combined external score,764,2.0
Affordability / repayment review,High payment burden,523,2.4550669216061185
Affordability / repayment review,High bureau debt utilisation,454,2.0
Data consistency check,Payment ratio needs checking,114,2.0
Rare but plausible profile,Unusual bureau record count,10,1.0
Rare but plausible profile,Unusual previous application count,9,1.0
Rare but plausible profile,Unusual instalment record count,7,1.0
Rare but plausible profile,Unusual average payment-to-due ratio,4,1.0
Rare but plausible profile,Unusual annuity amount,3,1.0
Rare but plausible profile,Unusual annuity-to-income ratio,3,1.0
Rare but plausible profile,Unusual average card balance,2,1.0
Rare but plausible profile,Unusual bureau debt-to-credit ratio,2,1.0
Rare but plausible profile,Unusual credit-to-income ratio,1,1.0
Rare but plausible profile,Unusual estimated credit term,1,1.0
Rare but plausible profile,Unusual late-instalment share,1,1.0
Rare but plausible profile,Unusual maximum card utilisation,1,1.0
