metric,value,business_definition
evaluation_rows,307511.0,Train IDs only; test rows excluded
test_rows_scored,0.0,No unlabeled test row enters scoring
observed_default_rate,0.08072881945686496,TARGET=1 share in matched train rows
flagged_share,0.28516378275899074,Share receiving the cluster risk flag
precision,0.10052342885814963,Default share among cluster-risk flags
recall,0.3550855991943605,Share of observed defaults captured by the flag
specificity,0.720976631315311,Share of observed non-defaults not flagged
f1,0.15668882647801202,Harmonic mean of precision and recall
lift_vs_baseline,1.245198796841831,Precision divided by portfolio default rate
average_precision,0.09513316388499458,PR-area summary for the five-level cluster score
roc_auc,0.553414174224346,Ranking metric; secondary under class imbalance
score_levels,25.0,Distinct cluster-rate scores available
true_negative,203810.0,Confusion-matrix count
false_positive,78876.0,Confusion-matrix count
false_negative,16010.0,Confusion-matrix count
true_positive,8815.0,Confusion-matrix count
threshold_uplift,1.1,Flag if fold-trained cluster rate is at least this multiple of fold baseline
cluster_precision_ceiling,0.11869349664625255,Highest observed default share in any complete segment
