check_a,check_b,eligible_rows,intersection_rows,jaccard_union_rows,jaccard_overlap
Adjusted IQR,Adjusted IQR,356255,1295,1295,1.0
Adjusted IQR,Z-score,356255,958,6243,0.15345186609002082
Adjusted IQR,Shrinkage Mahalanobis,356255,707,9495,0.07446024223275408
Adjusted IQR,Isolation Forest,356255,785,18323,0.042842329312885445
Adjusted IQR,LOF,356255,505,9697,0.052077962256367946
Adjusted IQR,DBSCAN sample,30000,10,600,0.016666666666666666
Z-score,Adjusted IQR,356255,958,6243,0.15345186609002082
Z-score,Z-score,356255,5906,5906,1.0
Z-score,Shrinkage Mahalanobis,356255,3038,11775,0.2580042462845011
Z-score,Isolation Forest,356255,4424,19295,0.22928219746048198
Z-score,LOF,356255,1815,12998,0.13963686721034005
Z-score,DBSCAN sample,30000,28,988,0.02834008097165992
Shrinkage Mahalanobis,Adjusted IQR,356255,707,9495,0.07446024223275408
Shrinkage Mahalanobis,Z-score,356255,3038,11775,0.2580042462845011
Shrinkage Mahalanobis,Shrinkage Mahalanobis,356255,8907,8907,1.0
Shrinkage Mahalanobis,Isolation Forest,356255,5055,21665,0.23332564043387952
Shrinkage Mahalanobis,LOF,356255,2878,14936,0.19268880557043386
Shrinkage Mahalanobis,DBSCAN sample,30000,33,1245,0.02650602409638554
Isolation Forest,Adjusted IQR,356255,785,18323,0.042842329312885445
Isolation Forest,Z-score,356255,4424,19295,0.22928219746048198
Isolation Forest,Shrinkage Mahalanobis,356255,5055,21665,0.23332564043387952
Isolation Forest,Isolation Forest,356255,17813,17813,1.0
Isolation Forest,LOF,356255,3091,23629,0.13081383046256717
Isolation Forest,DBSCAN sample,30000,96,1920,0.05
LOF,Adjusted IQR,356255,505,9697,0.052077962256367946
LOF,Z-score,356255,1815,12998,0.13963686721034005
LOF,Shrinkage Mahalanobis,356255,2878,14936,0.19268880557043386
LOF,Isolation Forest,356255,3091,23629,0.13081383046256717
LOF,LOF,356255,8907,8907,1.0
LOF,DBSCAN sample,30000,44,1201,0.03663613655287261
DBSCAN sample,Adjusted IQR,30000,10,600,0.016666666666666666
DBSCAN sample,Z-score,30000,28,988,0.02834008097165992
DBSCAN sample,Shrinkage Mahalanobis,30000,33,1245,0.02650602409638554
DBSCAN sample,Isolation Forest,30000,96,1920,0.05
DBSCAN sample,LOF,30000,44,1201,0.03663613655287261
DBSCAN sample,DBSCAN sample,30000,493,493,1.0
